Instance;RealSolution;Execution;InitialMethod;NumGroupsTEC;TimeTEC;GapTEC;NumGroupsTT;TimeTT;GapTT;TimeTT_TEC;GapTT_TEC;InitialCostFunctions;Algorithm;RunTimeSec;Hipervolume;NumParetoSolutions;CostFunctions;Solutions
instance14_73;61.1 203930.43;24;MILP;4;0.015039444;0;13;0.296125412;0;95.90241241;3.63E-09;185.66 180327.61|0 183451.36;MOGVNS_FI;1096;1.0713;3;0 183451.36|2.41 180731.18|170.06 180327.61;70,71,72,0,1,2,4,10,13,14,15,16,17,18,19,20,21,64,29,30,31,32,33,35,36,37,38,39,40,41,42,5,6,7,8,11,12,9,3,49,50,51,52,53,54,55,56,57,58,43,44,45,46,47,48,61,65,59,60,62,63,66,68,69,67,22,23,24,25,26,27,28,34|9,5,6,7,8,11,12,3,62,1,10,21,0,20,15,13,17,4,2,18,16,14,19,64,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,54,59,68,63,58,56,66,61,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|9,5,6,7,8,11,12,3,45,44,43,46,47,48,61,65,49,50,51,52,53,54,55,56,57,58,59,60,62,63,66,68,69,1,10,21,0,20,15,13,17,4,2,18,16,14,19,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,64
instance14_73;61.1 203930.43;25;MILP;4;0.015039444;0;13;0.296125412;0;95.90241241;3.63E-09;185.66 180327.61|0 183451.36;MOGVNS_FI;1096;1.0713;3;0 183451.36|2.41 180731.18|170.06 180327.61;70,71,72,0,1,2,4,10,13,14,15,16,17,18,19,20,21,64,29,30,31,32,33,35,36,37,38,39,40,41,42,5,6,7,8,11,12,9,3,49,50,51,52,53,54,55,56,57,58,43,44,45,46,47,48,61,65,59,60,62,63,66,68,69,67,22,23,24,25,26,27,28,34|9,5,6,7,8,11,12,3,62,1,10,21,0,20,15,13,17,4,2,18,16,14,19,64,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,54,59,68,63,58,56,66,61,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|9,5,6,7,8,11,12,3,45,44,43,46,47,48,61,65,49,50,51,52,53,54,55,56,57,58,59,60,62,63,66,68,69,1,10,21,0,20,15,13,17,4,2,18,16,14,19,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,64
instance14_73;61.1 203930.43;26;MILP;4;0.015039444;0;13;0.296125412;0;95.90241241;3.63E-09;185.66 180327.61|0 183451.36;MOGVNS_FI;1096;1.0713;3;0 183451.36|2.41 180731.18|170.06 180327.61;70,71,72,0,1,2,4,10,13,14,15,16,17,18,19,20,21,64,29,30,31,32,33,35,36,37,38,39,40,41,42,5,6,7,8,11,12,9,3,49,50,51,52,53,54,55,56,57,58,43,44,45,46,47,48,61,65,59,60,62,63,66,68,69,67,22,23,24,25,26,27,28,34|9,5,6,7,8,11,12,3,62,1,10,21,0,20,15,13,17,4,2,18,16,14,19,64,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,54,59,68,63,58,56,66,61,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|9,5,6,7,8,11,12,3,45,44,43,46,47,48,61,65,49,50,51,52,53,54,55,56,57,58,59,60,62,63,66,68,69,1,10,21,0,20,15,13,17,4,2,18,16,14,19,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,64
instance14_73;61.1 203930.43;27;MILP;4;0.015039444;0;13;0.296125412;0;95.90241241;3.63E-09;185.66 180327.61|0 183451.36;MOGVNS_FI;1096;1.0713;3;0 183451.36|2.41 180731.18|170.06 180327.61;70,71,72,0,1,2,4,10,13,14,15,16,17,18,19,20,21,64,29,30,31,32,33,35,36,37,38,39,40,41,42,5,6,7,8,11,12,9,3,49,50,51,52,53,54,55,56,57,58,43,44,45,46,47,48,61,65,59,60,62,63,66,68,69,67,22,23,24,25,26,27,28,34|9,5,6,7,8,11,12,3,62,1,10,21,0,20,15,13,17,4,2,18,16,14,19,64,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,54,59,68,63,58,56,66,61,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|9,5,6,7,8,11,12,3,45,44,43,46,47,48,61,65,49,50,51,52,53,54,55,56,57,58,59,60,62,63,66,68,69,1,10,21,0,20,15,13,17,4,2,18,16,14,19,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,64
instance14_73;61.1 203930.43;28;MILP;4;0.015039444;0;13;0.296125412;0;95.90241241;3.63E-09;185.66 180327.61|0 183451.36;MOGVNS_FI;1095;1.0713;3;0 183451.36|2.41 180731.18|170.06 180327.61;70,71,72,0,1,2,4,10,13,14,15,16,17,18,19,20,21,64,29,30,31,32,33,35,36,37,38,39,40,41,42,5,6,7,8,11,12,9,3,49,50,51,52,53,54,55,56,57,58,43,44,45,46,47,48,61,65,59,60,62,63,66,68,69,67,22,23,24,25,26,27,28,34|9,5,6,7,8,11,12,3,62,1,10,21,0,20,15,13,17,4,2,18,16,14,19,64,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,54,59,68,63,58,56,66,61,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|9,5,6,7,8,11,12,3,45,44,43,46,47,48,61,65,49,50,51,52,53,54,55,56,57,58,59,60,62,63,66,68,69,1,10,21,0,20,15,13,17,4,2,18,16,14,19,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,64
instance14_73;61.1 203930.43;29;MILP;4;0.015039444;0;13;0.296125412;0;95.90241241;3.63E-09;185.66 180327.61|0 183451.36;MOGVNS_FI;1095;1.0713;3;0 183451.36|2.41 180731.18|170.06 180327.61;70,71,72,0,1,2,4,10,13,14,15,16,17,18,19,20,21,64,29,30,31,32,33,35,36,37,38,39,40,41,42,5,6,7,8,11,12,9,3,49,50,51,52,53,54,55,56,57,58,43,44,45,46,47,48,61,65,59,60,62,63,66,68,69,67,22,23,24,25,26,27,28,34|9,5,6,7,8,11,12,3,62,1,10,21,0,20,15,13,17,4,2,18,16,14,19,64,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,54,59,68,63,58,56,66,61,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|9,5,6,7,8,11,12,3,45,44,43,46,47,48,61,65,49,50,51,52,53,54,55,56,57,58,59,60,62,63,66,68,69,1,10,21,0,20,15,13,17,4,2,18,16,14,19,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,70,71,72,67,64
instance14_73;61.1 203930.43;0;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1098;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;1;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1096;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;2;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;3;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1100;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;4;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;5;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1096;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;6;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;7;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1096;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;8;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;9;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;10;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1096;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;11;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;12;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1096;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;13;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1098;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;14;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1098;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;15;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;16;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1097;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;17;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1097;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;18;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;19;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;20;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;21;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1098;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;22;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1095;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;23;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1096;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;24;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1096;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;25;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1097;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
instance14_73;61.1 203930.43;26;Heuristics;0;0;1;0;0;1;0;0;0 189814.83|21.29 183854.93;MOGVNS_FI;1100;0.2844;2;1.35 182960.86|0 183451.36;1,2,4,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,43|1,2,4,10,13,14,15,16,17,18,19,20,21,24,25,26,27,28,34,29,30,31,32,33,35,36,37,38,39,40,41,42,0,70,71,72,67,64,9,5,6,7,8,11,12,3,62,43,59,54,68,63,58,56,61,66,69,50,65,49,60,44,57,55,47,53,51,46,45,52,48,22,23
